type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
flat end mill,Dreanique,DSP1F-D1.0-L04-H6 | suitable for Acrylic,DSP1F-D1.0-L04-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50,0,6,4.0,1.0,1,4.0,1.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D1.5-L05-H6 | suitable for Acrylic,DSP1F-D1.5-L05-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50,0,6,5.0,1.5,1,5.0,1.5,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D2.0-L10-H6 | suitable for Acrylic,DSP1F-D2.0-L10-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50,0,6,10.0,2,1,10.0,2,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D3.0-L10-H6 | suitable for Acrylic,DSP1F-D3.0-L10-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50,0,6,10.0,3,1,10.0,3,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D3.0-L17-H6 | suitable for Acrylic,DSP1F-D3.0-L17-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50,0,6,17.0,3,1,17.0,3,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D4.0-L12-H6 | suitable for Acrylic,DSP1F-D4.0-L12-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50.0,0,6,12.0,4.0,1,12.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D4.0-L22-H6 | suitable for Acrylic,DSP1F-D4.0-L22-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50.0,0,6,22.0,4.0,1,22.0,4.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,DSP1F-D5.0-L12-H6 | suitable for Acrylic,DSP1F-D5.0-L12-H6,https://de.aliexpress.com/item/1005001948417279.html?spm=a2g0o.order_detail.order_detail_item.12.f77f126aspLld4&gatewayAdapt=glo2deu,Carbide,DLC,Mist,50.0,0,6,12,5.0,1,12,5.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
chamfer mill,Dreanique,"ECN3F-D6.0-R90 | suitable for Steel, Carbon steel, Pre-hardened steel, Cast iron, Stainless steel",ECN3F-D6.0-R90,https://de.aliexpress.com/item/1005007927155822.html?spm=a2g0o.order_list.order_list_main.60.21ef5c5fe6AeZD&gatewayAdapt=glo2deu#nav-specification,Ti coated,TiAlN,Mist,50.0,0,6.0,4.2426,6.0,3,4.2426,6.0,0,0,0,45.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
flat end mill,Dreanique,AL-2E-D3.0-H6 | suitable for Aluminum,AL-2E-D3.0-H6 ,https://de.aliexpress.com/item/1005002686998871.html?spm=a2g0o.order_detail.order_detail_item.4.2a38126auZ8fh5&gatewayAdapt=glo2deu,Carbide,Uncoated,Mist,50.0,0,6,9.0,3.0,2,9.0,3.0,0,0,0,0.0,0.0,0,60,0,0,0,Default,10000,300,100,150,300,True,0,None,millimeters
