type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
ball end mill,,Makera Metal - 1*3mm,Makera Metal - 1*3mm,https://www.makera.com/products/two-flute-ball-nose-bit-for-metal-1-8-shank?variant=43974826918113,carbide,none,disabled,38.0,16.4125,3.175,3.0,1.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,Makera Metal - 1.5*4.5mm,Makera Metal - 1.5*4.5mm,https://www.makera.com/products/two-flute-ball-nose-bit-for-metal-1-8-shank?variant=43974826950881,carbide,none,disabled,38.0,14.4125,3.175,4.0,1.5,2,4.0,1.5,0.0,0.0,0.0,0.0,0.75,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,Makera Metal - 2*6mm,Makera Metal - 2*6mm,https://www.makera.com/products/two-flute-ball-nose-bit-for-metal-1-8-shank?variant=43974826983649,carbide,none,disabled,38.0,10.4125,3.175,6.0,2.0,2,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,Makera Metal - 2.5*7.5mm,Makera Metal - 2.5*7.5mm,https://www.makera.com/products/two-flute-ball-nose-bit-for-metal-1-8-shank?variant=43974827016417,carbide,none,disabled,38.0,7.4125,3.175,7.5,2.5,2,7.5,2.5,0.0,0.0,0.0,0.0,1.25,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,Makera Metal - 3.175*10mm,Makera Metal - 3.175*10mm,https://www.makera.com/products/two-flute-ball-nose-bit-for-metal-1-8-shank?variant=43974827049185,carbide,none,disabled,38.0,2.4125,3.175,10.0,3.175,2,10.0,3.175,0.0,0.0,0.0,0.0,1.5875,0.0,60,0,0,0,Aluminum,12000.0,500.0,300.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,2 Flute Ball Nose 1*4mm,2 Flute Ball Nose 1*4mm,https://www.makera.com/products/two-flute-ball-nose-bit-1-8-shank?variant=43974835831009,carbide,none,disabled,38.0,14.4125,3.175,4.0,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,60,0,0,0,Hardwood,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,2 Flute Ball Nose 1.5*8mm,2 Flute Ball Nose 1.5*8mm,https://www.makera.com/products/two-flute-ball-nose-bit-1-8-shank?variant=43974835863777,carbide,none,disabled,38.0,6.4125,3.175,8.0,1.5,2,8.0,1.5,0.0,0.0,0.0,0.0,0.75,0.0,60,0,0,0,Hardwood,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,2 Flute Ball Nose 2*12mm,2 Flute Ball Nose 2*12mm,https://www.makera.com/products/two-flute-ball-nose-bit-1-8-shank?variant=43974835896545,carbide,none,disabled,38.0,0.0,3.175,12.0,2.0,2,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,60,0,0,0,Hardwood,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,2 Flute Ball Nose 2.5*15mm,2 Flute Ball Nose 2.5*15mm,https://www.makera.com/products/two-flute-ball-nose-bit-1-8-shank?variant=43974835929313,carbide,none,disabled,38.0,0.0,3.175,15.0,2.5,2,15.0,2.5,0.0,0.0,0.0,0.0,1.25,0.0,60,0,0,0,Hardwood,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
ball end mill,,2 Flute Ball Nose 3.175*22,2 Flute Ball Nose 3.175*22,https://www.makera.com/products/two-flute-ball-nose-bit-1-8-shank?variant=43974835929313,carbide,none,disabled,38.0,0.0,3.175,22.0,3.175,2,22.0,3.175,0.0,0.0,0.0,0.0,1.5875,0.0,60,0,0,0,Hardwood,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
