type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
flat end mill,,TiN Coating Corn Bit 0.6*3mm,TiN Coating Corn Bit 0.6*3mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608453857,carbide,none,disabled,32.0,20.4125,3.175,3.0,0.6,2,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 0.7*4mm,TiN Coating Corn Bit 0.7*4mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608486625,carbide,none,disabled,32.0,18.4125,3.175,4.0,0.7,2,4.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 0.8*5.5mm,TiN Coating Corn Bit 0.8*5.5mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608519393,carbide,none,disabled,32.0,15.4125,3.175,5.5,0.8,2,5.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 0.9*6mm,TiN Coating Corn Bit 0.9*6mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608552161,carbide,none,disabled,32.0,14.4125,3.175,6.0,0.9,2,6.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1*7mm,TiN Coating Corn Bit 1*7mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608584929,carbide,none,disabled,32.0,12.4125,3.175,7.0,1.0,2,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1.1*7mm,TiN Coating Corn Bit 1.1*7mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608617697,carbide,none,disabled,32.0,12.4125,3.175,7.0,1.1,2,7.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1.2*7mm,TiN Coating Corn Bit 1.2*7mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608650465,carbide,none,disabled,32.0,12.4125,3.175,7.0,1.2,2,7.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1.3*7.5mm,TiN Coating Corn Bit 1.3*7.5mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608683233,carbide,none,disabled,32.0,11.4125,3.175,7.5,1.3,2,7.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1.4*7.5mm,TiN Coating Corn Bit 1.4*7.5mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608716001,carbide,none,disabled,32.0,11.4125,3.175,7.5,1.4,2,7.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
flat end mill,Makera,TiN Coating Corn Bit 1.5*8.5mm,TiN Coating Corn Bit 1.5*8.5mm,https://www.makera.com/products/tin-coating-corn-bit-1-8-shank?variant=43974608748769,carbide,none,disabled,32.0,9.4125,3.175,8.5,1.5,2,8.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Carbon Fiber,12000.0,500.0,300.0,500.0,500.0,True,32.0,taperedbullnose,millimeters
