type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
chamfer mill,,Single Flute Engraving Metal 60 deg*.1mm,Single Flute Engraving Metal 60 deg*.1mm,https://www.makera.com/products/single-flute-engraving-bit-for-metal-1-8-shank?variant=43974732185825,carbide,none,disabled,38.0,8.75,6.5,8.0,3.175,1,8.0,3.175,0.1,30.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,11962.2359,498.42689,200.0,500.0,500.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving Metal 30 deg*.2mm,Single Flute Engraving Metal 30 deg*.2mm,https://www.makera.com/products/single-flute-engraving-bit-for-metal-1-8-shank?variant=43974732218593,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.2,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,11962.2359,498.42689,200.0,500.0,500.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving Metal 30 deg*.3mm,Single Flute Engraving Metal 30 deg*.3mm,https://www.makera.com/products/single-flute-engraving-bit-for-metal-1-8-shank?variant=43974732251361,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.3,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,11962.2359,498.42689,200.0,500.0,500.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving Metal 30 deg*.4mm,Single Flute Engraving Metal 30 deg*.4mm,https://www.makera.com/products/single-flute-engraving-bit-for-metal-1-8-shank?variant=43974732284129,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.4,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,11962.2359,498.42689,200.0,500.0,500.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving Metal 30 deg*.5mm,Single Flute Engraving Metal 30 deg*.5mm,https://www.makera.com/products/single-flute-engraving-bit-for-metal-1-8-shank?variant=43974732316897,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.5,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,11962.2359,498.42689,200.0,500.0,500.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving 30 deg*.1mm,Single Flute Engraving 30 deg*.1mm,https://www.makera.com/products/single-flute-engraving-bit-1-8-shank?variant=43974777831649,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.1,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,11962.2359,996.85259,500.0,1000.0,1000.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving 30 deg*.2mm,Single Flute Engraving 30 deg*.2mm,https://www.makera.com/products/single-flute-engraving-bit-1-8-shank?variant=43974777864417,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.2,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,11962.2359,996.85259,500.0,1000.0,1000.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving 30 deg*.3mm,Single Flute Engraving 30 deg*.3mm,https://www.makera.com/products/single-flute-engraving-bit-1-8-shank?variant=43974777897185,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.3,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,11962.2359,996.85259,500.0,1000.0,1000.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving 30 deg*.4mm,Single Flute Engraving 30 deg*.4mm,https://www.makera.com/products/single-flute-engraving-bit-1-8-shank?variant=43974777929953,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.4,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,11962.2359,996.85259,500.0,1000.0,1000.0,True,38.0,None,millimeters
chamfer mill,,Single Flute Engraving 30 deg*.5mm,Single Flute Engraving 30 deg*.5mm,https://www.makera.com/products/single-flute-engraving-bit-1-8-shank?variant=43974777962721,carbide,none,disabled,38.0,6.75,6.5,9.0,3.175,1,9.0,3.175,0.5,15.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,11962.2359,996.85259,500.0,1000.0,1000.0,True,38.0,None,millimeters
