type,vendor,description,name,product_link,material,coating,coolant_type,overall_length,shank_length,shank_dia,shoulder_length,shoulder_dia,nr_flutes,flute_length,flute_dia,tip_dia,tip_angle,tip_length,angle,corner_radius,thread_pitch,thread_profile_angle,thread_nr_teeth,taper_dia,taper_angle,preset_name,spindle,feed_xy,feed_z,feed_in,feed_out,clockwise,protrusion,tapered_type,unit
flat end mill,Makera,Spiral O Metal 1*3mm,Spiral O Metal 1*3mm,https://www.makera.com/products/spiral-o-single-flute-bit-for-metal-1-8-shank?variant=43974664749281,carbide,none,disabled,38.0,20.4125,3.175,3.0,1.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O Metal 1.5*6mm,Spiral O Metal 1.5*6mm,https://www.makera.com/products/spiral-o-single-flute-bit-for-metal-1-8-shank?variant=43974664716513,carbide,none,disabled,38.0,14.4125,3.175,6.0,1.5,1,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O Metal 2*8mm,Spiral O Metal 2*8mm,https://www.makera.com/products/spiral-o-single-flute-bit-for-metal-1-8-shank?variant=43974664683745,carbide,none,disabled,38.0,10.4125,3.175,8.0,2.0,1,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O Metal 2.5*12mm,Spiral O Metal 2.5*12mm,https://www.makera.com/products/spiral-o-single-flute-bit-for-metal-1-8-shank?variant=43974664650977,carbide,none,disabled,38.0,2.4125,3.175,12.0,2.5,1,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O Metal 3.175*12mm,Spiral O Metal 3.175*12mm,https://www.makera.com/products/spiral-o-single-flute-bit-for-metal-1-8-shank?variant=43974664618209,carbide,none,disabled,38.0,2.4125,3.175,12.0,3.175,1,12.0,3.175,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Aluminum,12000.0,500.0,200.0,500.0,500.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 1*3mm,Spiral O 1*3mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709477601,carbide,none,disabled,38.0,20.4125,3.175,3.0,1.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 1.5*8mm,Spiral O 1.5*8mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709444833,carbide,none,disabled,38.0,10.4125,3.175,8.0,1.5,1,8.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 2*12mm,Spiral O 2*12mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709412065,carbide,none,disabled,38.0,2.4125,3.175,12.0,2.0,1,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 2.5*15mm,Spiral O 2.5*15mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709379297,carbide,none,disabled,38.0,0.0,3.175,15.0,2.5,1,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 3.175*17mm,Spiral O 3.175*17mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709346529,carbide,none,disabled,38.0,0.0,3.175,17.0,3.175,1,17.0,3.175,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,38.0,None,millimeters
flat end mill,Makera,Spiral O 3.175*25mm,Spiral O 3.175*25mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709313761,carbide,none,disabled,42.0,0.0,3.175,25.0,3.175,1,25.0,3.175,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,42.0,None,millimeters
flat end mill,Makera,Spiral O 3.175*32mm,Spiral O 3.175*32mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709280993,carbide,none,disabled,45.0,0.0,3.175,32.0,3.175,1,32.0,3.175,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,45.0,None,millimeters
flat end mill,Makera,Spiral O 3.175*42mm,Spiral O 3.175*42mm,https://www.makera.com/products/spiral-o-single-flute-bit-1-8-shank?variant=43974709248225,carbide,none,disabled,60.0,0.0,3.175,42.0,3.175,1,42.0,3.175,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,Hardwood,10000.0,1000.0,300.0,1000.0,1000.0,True,60.0,None,millimeters
